Survived,Pclass,Age,SibSp,Parch,Fare,Sex_enc,Embarked_Q,Embarked_S
0,3,0.2711736617240512,1,0,0.029115738554643292,1,False,True
1,1,0.4722292033174164,1,0,0.286271162222373,0,False,False
1,3,0.32143754712239253,0,0,0.03182651421317905,0,False,True
1,1,0.4345312892686604,1,0,0.21324768513814607,0,False,True
0,3,0.4345312892686604,0,0,0.03232850970550049,1,False,True
0,3,,0,0,0.033968227781619224,1,True,False
0,1,0.6732847449107816,0,0,0.20827792976416382,1,False,True
0,3,0.01985423473234481,3,1,0.08463644000539412,1,False,True
1,3,0.33400351847197784,0,2,0.044710931317297954,0,False,True
1,2,0.17064589092736868,1,0,0.12076324840399552,0,False,False
1,3,0.04498617743151546,1,1,0.06706659777414387,0,False,True
1,1,0.723548630309123,0,0,0.10662384256907304,0,False,True
0,3,0.24604171902488062,0,0,0.03232850970550049,1,False,True
0,3,0.4847951746670017,1,5,0.1255992721788233,1,False,True
0,3,0.17064589092736868,0,0,0.031542183966328186,0,False,True
1,2,0.685850716260367,0,0,0.06425542301714382,0,False,True
0,3,0.01985423473234481,4,1,0.1169649497108946,1,True,False
1,2,,0,0,0.052207531201429354,1,False,True
0,3,0.38426740387031916,1,0,0.0722873508942868,0,False,True
1,3,,0,0,0.029015339456179005,0,False,False
0,2,0.4345312892686604,0,0,0.10441506240285871,1,False,True
1,2,0.4219653179190751,0,0,0.052207531201429354,1,False,True
1,3,0.18321186227695402,0,0,0.0322449776555782,0,True,False
1,1,0.34656948982156316,0,0,0.14256671981928784,1,False,True
0,3,0.09525006282985675,3,1,0.08463644000539412,0,False,True
1,3,0.4722292033174164,1,5,0.1260510681219126,0,False,True
0,3,,0,0,0.029015339456179005,1,False,False
0,1,0.2334757476752953,3,2,1.0,1,False,True
1,3,,0,0,0.03164258306479247,0,True,False
0,3,,0,0,0.031709248066172764,1,False,True
0,1,0.49736114601658704,0,0,0.11132573314835252,1,False,False
1,1,,1,0,0.5884222490506454,0,False,False
1,3,,0,0,0.03112372052392904,0,True,False
0,2,0.8240764011058055,0,0,0.04216762135500063,1,False,True
